"Work_Ref__c","Investigation_Case__r.Work_Ref__c","Signal__c","Family__c","Detail__c"
"MP3019253-W216511","MP3019253-W216511","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017304-W142704","MP3017304-W142704","Peer amount","amount","Recommended amount at the 97th percentile of 598 comparable works (robust z 8.1)."
"MP3017304-W142704","MP3017304-W142704","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 78%). Before/after - 2023: 154 works at a median of Rs 450,000 -> 2024: 68 works at a median of Rs 799,932. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017304-W142704","MP3017304-W142704","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019167-W170954","MP3019167-W170954","Peer amount","amount","Recommended amount at the 97th percentile of 598 comparable works (robust z 8.1)."
"MP3019167-W170954","MP3019167-W170954","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 78%). Before/after - 2023: 154 works at a median of Rs 450,000 -> 2024: 68 works at a median of Rs 799,932. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019167-W170954","MP3019167-W170954","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019004-W118305","MP3019004-W118305","Peer amount","amount","Recommended amount at the 100th percentile of 16189 comparable works (robust z 10.3)."
"MP3019004-W118305","MP3019004-W118305","Peer duration","duration","Open for longer than 100% of comparable works still in progress."
"MP3019004-W118305","MP3019004-W118305","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 195 works at a median of Rs 200,000 -> 2026: 81 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019173-W71924","MP3019173-W71924","Peer amount","amount","Recommended amount at the 100th percentile of 766 comparable works (robust z 25.8)."
"MP3019173-W71924","MP3019173-W71924","Peer duration","duration","Open for longer than 93% of comparable works still in progress."
"MP3019173-W71924","MP3019173-W71924","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 58%). Before/after - 2025: 47 works at a median of Rs 1,500,000 -> 2026: 47 works at a median of Rs 630,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019173-W71924","MP3019173-W71924","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042567-W259024","MP3042567-W259024","Peer amount","amount","Recommended amount at the 100th percentile of 31 comparable works (robust z 43.9)."
"MP3042567-W259024","MP3042567-W259024","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 227 works at a median of Rs 500,000 -> 2026: 48 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042567-W259024","MP3042567-W259024","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018342-W70170","MP3018342-W70170","Peer amount","amount","Recommended amount at the 96th percentile of 112 comparable works (robust z 15.2)."
"MP3018342-W70170","MP3018342-W70170","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 73%). Before/after - 2024: 30 works at a median of Rs 497,850 -> 2025: 28 works at a median of Rs 859,221. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018342-W70170","MP3018342-W70170","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017368-W232164","MP3017368-W232164","Peer amount","amount","Recommended amount at the 100th percentile of 30 comparable works (robust z 35.7)."
"MP3017368-W232164","MP3017368-W232164","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 67%). Before/after - 2024: 200 works at a median of Rs 300,000 -> 2025: 245 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017368-W232164","MP3017368-W232164","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017496-W52172","MP3017496-W52172","Peer amount","amount","Recommended amount at the 99th percentile of 1827 comparable works (robust z 14.2)."
"MP3017496-W52172","MP3017496-W52172","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3017496-W52172","MP3017496-W52172","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 54%). Before/after - 2025: 441 works at a median of Rs 325,000 -> 2026: 27 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3023812-W183657","MP3023812-W183657","Peer amount","amount","Recommended amount at the 100th percentile of 63 comparable works (robust z 7.8)."
"MP3023812-W183657","MP3023812-W183657","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3023812-W183657","MP3023812-W183657","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017171-W46809","MP3017171-W46809","Peer amount","amount","Recommended amount at the 98th percentile of 1637 comparable works (robust z 5.4)."
"MP3017171-W46809","MP3017171-W46809","Peer duration","duration","Open for longer than 90% of comparable works still in progress."
"MP3017171-W46809","MP3017171-W46809","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019436-W210639","MP3019436-W210639","Peer amount","amount","Recommended amount at the 100th percentile of 72 comparable works (robust z 0.7)."
"MP3019436-W210639","MP3019436-W210639","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 36 works at a median of Rs 927,890 -> 2024: 5 works at a median of Rs 2,511,808. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019436-W210639","MP3019436-W210639","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017489-W907","MP3017489-W907","Peer amount","amount","Recommended amount at the 96th percentile of 63 comparable works (robust z 5.4)."
"MP3017489-W907","MP3017489-W907","Peer duration","duration","Open for longer than 100% of comparable works still in progress."
"MP3017489-W907","MP3017489-W907","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017489-W907","MP3017489-W907","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019007-W122631","MP3019007-W122631","Peer amount","amount","Recommended amount at the 100th percentile of 468 comparable works (robust z 21.1)."
"MP3019007-W122631","MP3019007-W122631","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 66%). Before/after - 2025: 18 works at a median of Rs 445,268 -> 2026: 30 works at a median of Rs 737,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019007-W122631","MP3019007-W122631","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017278-W251752","MP3017278-W251752","Peer amount","amount","Recommended amount at the 98th percentile of 42 comparable works (robust z 4.3)."
"MP3017278-W251752","MP3017278-W251752","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 5 works at a median of Rs 1,000,000 -> 2025: 11 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017278-W251752","MP3017278-W251752","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019243-W100839","MP3019243-W100839","Peer amount","amount","Recommended amount at the 97th percentile of 598 comparable works (robust z 8.1)."
"MP3019243-W100839","MP3019243-W100839","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 65%). Before/after - 2024: 122 works at a median of Rs 909,000 -> 2025: 83 works at a median of Rs 1,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019243-W100839","MP3019243-W100839","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017455-W273242","MP3017455-W273242","Peer amount","amount","Recommended amount at the 99th percentile of 1462 comparable works (robust z 19.3)."
"MP3017455-W273242","MP3017455-W273242","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017455-W273242","MP3017455-W273242","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019235-W152381","MP3019235-W152381","Peer amount","amount","Recommended amount at the 97th percentile of 246 comparable works (robust z 6.8)."
"MP3019235-W152381","MP3019235-W152381","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 85%). Before/after - 2024: 60 works at a median of Rs 420,000 -> 2025: 44 works at a median of Rs 775,461. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019235-W152381","MP3019235-W152381","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019235-W152382","MP3019235-W152382","Peer amount","amount","Recommended amount at the 97th percentile of 246 comparable works (robust z 6.8)."
"MP3019235-W152382","MP3019235-W152382","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 85%). Before/after - 2024: 60 works at a median of Rs 420,000 -> 2025: 44 works at a median of Rs 775,461. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019235-W152382","MP3019235-W152382","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019235-W209067","MP3019235-W209067","Peer amount","amount","Recommended amount at the 100th percentile of 1827 comparable works (robust z 21.6)."
"MP3019235-W209067","MP3019235-W209067","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 85%). Before/after - 2024: 60 works at a median of Rs 420,000 -> 2025: 44 works at a median of Rs 775,461. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019235-W209067","MP3019235-W209067","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017328-W141250","MP3017328-W141250","Peer amount","amount","Recommended amount at the 100th percentile of 116 comparable works (robust z 6.7)."
"MP3017328-W141250","MP3017328-W141250","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017328-W141250","MP3017328-W141250","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3061320-W261384","MP3061320-W261384","Peer amount","amount","Recommended amount at the 97th percentile of 598 comparable works (robust z 8.1)."
"MP3061320-W261384","MP3061320-W261384","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 53%). Before/after - 2024: 88 works at a median of Rs 519,995 -> 2025: 79 works at a median of Rs 797,664. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3061320-W261384","MP3061320-W261384","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3061320-W261385","MP3061320-W261385","Peer amount","amount","Recommended amount at the 97th percentile of 598 comparable works (robust z 8.1)."
"MP3061320-W261385","MP3061320-W261385","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 53%). Before/after - 2024: 88 works at a median of Rs 519,995 -> 2025: 79 works at a median of Rs 797,664. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3061320-W261385","MP3061320-W261385","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042797-W157891","MP3042797-W157891","Peer amount","amount","Recommended amount at the 94th percentile of 598 comparable works (robust z 7.7)."
"MP3042797-W157891","MP3042797-W157891","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 82%). Before/after - 2023: 157 works at a median of Rs 498,968 -> 2024: 16 works at a median of Rs 907,653. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042797-W157891","MP3042797-W157891","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017405-W43020","MP3017405-W43020","Peer amount","amount","Recommended amount at the 100th percentile of 42 comparable works (robust z 33.7)."
"MP3017405-W43020","MP3017405-W43020","Peer duration","duration","Open for longer than 96% of comparable works still in progress."
"MP3017405-W43020","MP3017405-W43020","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 41 works at a median of Rs 499,000 -> 2026: 49 works at a median of Rs 3,400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017405-W43020","MP3017405-W43020","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018400-W514","MP3018400-W514","Peer amount","amount","Recommended amount at the 99th percentile of 155 comparable works (robust z 18.6)."
"MP3018400-W514","MP3018400-W514","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3018400-W514","MP3018400-W514","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3050536-W279146","MP3050536-W279146","Peer amount","amount","Recommended amount at the 96th percentile of 568 comparable works (robust z 5.4)."
"MP3050536-W279146","MP3050536-W279146","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 91 works at a median of Rs 239,428 -> 2025: 34 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3050536-W279146","MP3050536-W279146","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019528-W49803","MP3019528-W49803","Peer amount","amount","Recommended amount at the 98th percentile of 7203 comparable works (robust z 4.4)."
"MP3019528-W49803","MP3019528-W49803","Peer duration","duration","Open for longer than 90% of comparable works still in progress."
"MP3019528-W49803","MP3019528-W49803","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2022: 14 works at a median of Rs 142,500 -> 2023: 128 works at a median of Rs 516,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042529-W283395","MP3042529-W283395","Peer amount","amount","Recommended amount at the 100th percentile of 4191 comparable works (robust z 67.5)."
"MP3042529-W283395","MP3042529-W283395","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 98 works at a median of Rs 331,712 -> 2025: 44 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042529-W283395","MP3042529-W283395","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017328-W141234","MP3017328-W141234","Peer amount","amount","Recommended amount at the 99th percentile of 308 comparable works (robust z 6.2)."
"MP3017328-W141234","MP3017328-W141234","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017328-W141234","MP3017328-W141234","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042382-W255585","MP3042382-W255585","Peer amount","amount","Recommended amount at the 100th percentile of 311 comparable works (robust z 34.3)."
"MP3042382-W255585","MP3042382-W255585","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 175 works at a median of Rs 306,327 -> 2025: 73 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042382-W255585","MP3042382-W255585","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018396-W93516","MP3018396-W93516","Peer amount","amount","Recommended amount at the 91th percentile of 152 comparable works (robust z 1.7)."
"MP3018396-W93516","MP3018396-W93516","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018396-W93516","MP3018396-W93516","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019529-W81453","MP3019529-W81453","Peer amount","amount","Recommended amount at the 99th percentile of 157 comparable works (robust z 0.0)."
"MP3019529-W81453","MP3019529-W81453","Peer duration","duration","Open for longer than 97% of comparable works still in progress."
"MP3019529-W81453","MP3019529-W81453","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 80%). Before/after - 2025: 269 works at a median of Rs 500,000 -> 2026: 78 works at a median of Rs 900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019529-W81453","MP3019529-W81453","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3044066-W201271","MP3044066-W201271","Peer amount","amount","Recommended amount at the 99th percentile of 1855 comparable works (robust z 2981.5)."
"MP3044066-W201271","MP3044066-W201271","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 80%). Before/after - 2025: 269 works at a median of Rs 500,000 -> 2026: 78 works at a median of Rs 900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3044066-W201271","MP3044066-W201271","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3044066-W201271","MP3044066-W201271","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3044066-W201272). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3044066-W201272","MP3044066-W201272","Peer amount","amount","Recommended amount at the 99th percentile of 1855 comparable works (robust z 2981.5)."
"MP3044066-W201272","MP3044066-W201272","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 80%). Before/after - 2025: 269 works at a median of Rs 500,000 -> 2026: 78 works at a median of Rs 900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3044066-W201272","MP3044066-W201272","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3044066-W201272","MP3044066-W201272","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3044066-W204268). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3044066-W204268","MP3044066-W204268","Peer amount","amount","Recommended amount at the 99th percentile of 1855 comparable works (robust z 2981.5)."
"MP3044066-W204268","MP3044066-W204268","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 80%). Before/after - 2025: 269 works at a median of Rs 500,000 -> 2026: 78 works at a median of Rs 900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3044066-W204268","MP3044066-W204268","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3044066-W204268","MP3044066-W204268","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3044066-W204269). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3044066-W204269","MP3044066-W204269","Peer amount","amount","Recommended amount at the 99th percentile of 1855 comparable works (robust z 2981.5)."
"MP3044066-W204269","MP3044066-W204269","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 80%). Before/after - 2025: 269 works at a median of Rs 500,000 -> 2026: 78 works at a median of Rs 900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3044066-W204269","MP3044066-W204269","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3044066-W204269","MP3044066-W204269","Near-duplicate work","duplication","A work in the same state and archetype is 100.0% semantically similar (MP3044066-W204268). Repeated descriptions are common in this scheme, so a human should confirm these are genuinely separate works."
"MP3019087-W102300","MP3019087-W102300","Peer amount","amount","Recommended amount at the 98th percentile of 59 comparable works (robust z 5.4)."
"MP3019087-W102300","MP3019087-W102300","Peer duration","duration","Open for longer than 91% of comparable works still in progress."
"MP3019087-W102300","MP3019087-W102300","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 133 works at a median of Rs 400,000 -> 2024: 89 works at a median of Rs 998,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019087-W102300","MP3019087-W102300","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017288-W196007","MP3017288-W196007","Peer amount","amount","Recommended amount at the 99th percentile of 72 comparable works (robust z 18.4)."
"MP3017288-W196007","MP3017288-W196007","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 38 works at a median of Rs 500,000 -> 2025: 8 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017288-W196007","MP3017288-W196007","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W213689","MP3019643-W213689","Peer amount","amount","Recommended amount at the 90th percentile of 152 comparable works (robust z 1.7)."
"MP3019643-W213689","MP3019643-W213689","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W213689","MP3019643-W213689","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017417-W169147","MP3017417-W169147","Peer amount","amount","Recommended amount at the 100th percentile of 340 comparable works (robust z 11.9)."
"MP3017417-W169147","MP3017417-W169147","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 235 works at a median of Rs 249,000 -> 2026: 20 works at a median of Rs 530,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017417-W169147","MP3017417-W169147","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3020004-W164047","MP3020004-W164047","Peer amount","amount","Recommended amount at the 98th percentile of 223 comparable works (robust z 6.0)."
"MP3020004-W164047","MP3020004-W164047","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 75%). Before/after - 2024: 9 works at a median of Rs 1,713,944 -> 2025: 24 works at a median of Rs 421,700. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3020004-W164047","MP3020004-W164047","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042546-W208642","MP3042546-W208642","Peer amount","amount","Recommended amount at the 94th percentile of 66 comparable works (robust z 4.8)."
"MP3042546-W208642","MP3042546-W208642","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 230 works at a median of Rs 349,867 -> 2026: 36 works at a median of Rs 2,750,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042546-W208642","MP3042546-W208642","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042546-W208641","MP3042546-W208641","Peer amount","amount","Recommended amount at the 92th percentile of 66 comparable works (robust z 4.8)."
"MP3042546-W208641","MP3042546-W208641","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 230 works at a median of Rs 349,867 -> 2026: 36 works at a median of Rs 2,750,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042546-W208641","MP3042546-W208641","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018418-W59292","MP3018418-W59292","Peer amount","amount","Recommended amount at the 98th percentile of 246 comparable works (robust z 8.1)."
"MP3018418-W59292","MP3018418-W59292","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 409 works at a median of Rs 166,376 -> 2026: 48 works at a median of Rs 842,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018418-W59292","MP3018418-W59292","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017242-W259563","MP3017242-W259563","Peer amount","amount","Recommended amount at the 97th percentile of 120 comparable works (robust z 294.8)."
"MP3017242-W259563","MP3017242-W259563","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 41 works at a median of Rs 499,000 -> 2026: 49 works at a median of Rs 3,400,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017242-W259563","MP3017242-W259563","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3050536-W245769","MP3050536-W245769","Peer amount","amount","Recommended amount at the 99th percentile of 2550 comparable works (robust z 277.4)."
"MP3050536-W245769","MP3050536-W245769","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 91 works at a median of Rs 239,428 -> 2025: 34 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3050536-W245769","MP3050536-W245769","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042333-W173052","MP3042333-W173052","Peer amount","amount","Recommended amount at the 100th percentile of 502 comparable works (robust z 60.7)."
"MP3042333-W173052","MP3042333-W173052","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 60%). Before/after - 2024: 63 works at a median of Rs 100,000 -> 2025: 478 works at a median of Rs 160,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042333-W173052","MP3042333-W173052","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017307-W213229","MP3017307-W213229","Peer amount","amount","Recommended amount at the 93th percentile of 152 comparable works (robust z 2.0)."
"MP3017307-W213229","MP3017307-W213229","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 56%). Before/after - 2025: 124 works at a median of Rs 700,000 -> 2026: 6 works at a median of Rs 1,090,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
